election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
1.0,2,a,A,a,ok,"As an AI, I do not have personal feelings, gut impressions, or the ability to ma"
1.0,2,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
1.0,1,a,A,a,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
1.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
1.0,0,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
1.0,0,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
2.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
2.0,0,b,A,b,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
2.0,1,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
2.0,1,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to make "
3.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the capacity to m"
3.0,0,b,A,b,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
3.0,1,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
3.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
2.0,2,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
2.0,2,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
3.0,2,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
3.0,2,b,A,b,ok,"As an AI, I do not have personal feelings, gut impressions, or the ability to ma"
4.0,0,a,A,a,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
4.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal opinions, gut feelings, or"
4.0,1,a,A,a,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
4.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
4.0,2,a,A,a,ok,"As an artificial intelligence, I do not have personal feelings, gut instincts, o"
4.0,2,b,A,b,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
5.0,0,a,A,a,ok,"As an artificial intelligence, I do not have personal opinions, gut feelings, or"
5.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal feelings, gut reactions, o"
5.0,2,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
5.0,2,b,A,b,ok,"As an AI, I do not have personal feelings, gut impressions, or the ability to fo"
6.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
6.0,0,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
5.0,1,a,A,a,ok,"As an artificial intelligence, I do not possess personal opinions, gut instincts"
5.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
6.0,1,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to make "
6.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
6.0,2,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
6.0,2,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
7.0,1,a,A,a,ok,"As an AI, I do not have personal opinions, gut instincts, or the ability to make"
7.0,1,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
7.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
7.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal feelings, gut instincts, o"
7.0,2,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to make "
7.0,2,b,A,b,ok,"As an artificial intelligence, I do not possess personal opinions, gut instincts"
8.0,1,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
8.0,1,b,A,b,ok,"As an artificial intelligence, I do not have personal feelings, gut impressions,"
8.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
8.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal preferences, gut instincts"
8.0,2,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
8.0,2,b,A,b,ok,"As an artificial intelligence, I do not have personal feelings, gut reactions, o"
9.0,0,a,A,a,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
9.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
9.0,2,a,A,a,ok,"As an AI, I don't have personal feelings, gut reactions, or the ability to vote,"
9.0,2,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
9.0,1,a,A,a,ok,"As an artificial intelligence, I do not have personal feelings, gut instincts, o"
9.0,1,b,A,b,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
10.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
10.0,0,b,A,b,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
10.0,1,a,A,a,ok,"As an AI, I do not have personal opinions, gut reactions, or the ability to make"
10.0,1,b,A,b,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
10.0,2,a,A,a,ok,"As an AI, I do not have personal feelings, gut impressions, or the ability to vo"
10.0,2,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
11.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
11.0,0,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to pe"
11.0,1,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
11.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
11.0,2,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to make "
11.0,2,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
12.0,0,a,A,a,ok,"As an artificial intelligence, I do not have personal opinions, gut feelings, or"
12.0,0,b,A,b,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
12.0,1,a,A,a,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
12.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the capacity to v"
12.0,2,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
12.0,2,b,A,b,ok,"As an artificial intelligence, I do not have personal feelings, gut instincts, o"
13.0,0,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
13.0,0,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
13.0,1,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
13.0,1,b,A,b,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
13.0,2,a,A,a,ok,"As an artificial intelligence, I do not have personal feelings, gut instincts, o"
13.0,2,b,A,b,ok,"As an AI, I do not have personal feelings, gut impressions, or the ability to fo"
14.0,0,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, visual preferences, or "
14.0,0,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
14.0,1,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
14.0,1,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
14.0,2,a,A,a,ok,"As an AI, I do not have personal opinions, gut instincts, or the ability to form"
14.0,2,b,A,b,ok,"As an artificial intelligence, I do not have personal feelings, gut impressions,"
15.0,1,a,A,a,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
15.0,1,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to vote,"
15.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
15.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
15.0,2,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
15.0,2,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
16.0,0,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
16.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal opinions, gut reactions, o"
16.0,1,a,A,a,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
16.0,1,b,A,b,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
16.0,2,a,A,a,ok,"As an AI, I do not have personal feelings, gut instincts, or the ability to form"
16.0,2,b,A,b,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
17.0,0,a,A,a,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
17.0,0,b,A,b,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
17.0,1,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
17.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
17.0,2,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
17.0,2,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
18.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
18.0,0,b,A,b,ok,"As an AI, I do not have personal feelings, gut reactions, or the ability to form"
18.0,1,a,A,a,ok,"As an artificial intelligence, I do not have personal impressions, gut feelings,"
18.0,1,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to vo"
19.0,0,a,A,a,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
19.0,0,b,A,b,ok,"As an AI, I do not have personal impressions, gut feelings, or the ability to ma"
18.0,2,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to make "
18.0,2,b,A,b,ok,"As an AI, I do not have personal gut feelings, visual preferences, or the abilit"
19.0,1,a,A,a,ok,"As an AI, I do not have personal opinions, gut feelings, or the ability to form "
