election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
1.0,2,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
1.0,2,b,A,b,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
1.0,0,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
1.0,0,b,A,b,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
1.0,1,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
1.0,1,b,A,b,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
2.0,0,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
2.0,0,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
2.0,2,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
2.0,2,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
2.0,1,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
2.0,1,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
3.0,0,a,A,a,ok,"**A**

Based on the immediate gut impression from the images provided, Candidate"
3.0,0,b,B,a,ok,"**B**

Based on the immediate gut impression from the images provided, Candidate"
3.0,1,a,A,a,ok,"**A**

Based on the immediate gut impression from the images provided, Candidate"
3.0,1,b,B,a,ok,"**B**

Based on the immediate gut impression from the images provided, Candidate"
3.0,2,a,A,a,ok,"**A**

Based on the immediate gut impression from the images provided, Candidate"
3.0,2,b,B,a,ok,"**B**

Based on the immediate gut impression from the images provided, Candidate"
4.0,0,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
4.0,0,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
4.0,1,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
4.0,1,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
4.0,2,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
4.0,2,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
5.0,2,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
5.0,2,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
5.0,0,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
5.0,0,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
5.0,1,a,A,a,ok,"A

Based on the immediate gut impression from the images provided, Candidate A a"
5.0,1,b,B,a,ok,"B

Based on the immediate gut impression from the images provided, Candidate B a"
6.0,0,a,B,b,ok,"**B**

Based on the immediate gut impression from the images provided, Candidate"
6.0,0,b,A,b,ok,"A

Based on the immediate gut impression from the black-and-white photographs pr"
6.0,2,a,B,b,ok,"**B**

Based on the immediate gut impression from the images provided, Candidate"
6.0,2,b,A,b,ok,"A

Based on the immediate gut impression from the black-and-white photographs pr"
