candidate_label,election_id,recognized_flag,raw_response
G1999LA0235T0469,235.0,False,unknown
S2004VT0085T0169,85.0,True,"This is Paul Volcker, former Chair of the Federal Reserve."
G2000ND0229T0457,229.0,False,unknown
S2008AL0001N0002,1.0,False,unknown
G2002NM0208N0416,208.0,False,unknown
G2002CO0191T0381,191.0,True,Isaac Asimov
S2002IA0093T0185,93.0,False,unknown
S2008MT0014T0027,14.0,False,unknown
S2006WI0055N0110,55.0,False,unknown
G1996IN0266N0532,266.0,False,unknown
S2008GA0004T0007,4.0,False,unknown
G2006SC0179N0358,179.0,False,unknown
G2006SD0180N0360,180.0,False,unknown
S2008SC0021T0041,21.0,False,unknown
S2008IA0007N0014,7.0,False,unknown
S2008IA0007T0013,7.0,False,unknown
G1998NV0252T0503,252.0,False,unknown
S2006TX0049N0098,49.0,False,unknown
S2006WI0055T0109,55.0,False,unknown
G1998TN0262T0523,262.0,False,unknown
G2001NJ0221N0442,221.0,True,Robert Mueller
S2008VA0025T0049,25.0,False,unknown
G2002CA0190T0379,190.0,False,unknown
S2004AL0056N0112,56.0,False,unknown
G1995MS0273N0546,273.0,False,unknown
S2006NJ0042T0083,42.0,False,unknown
G2002HI0195T0389,195.0,True,Elaine Chao
G1996ND0268T0535,268.0,False,unknown
S2008MI0012N0024,12.0,False,unknown
G1998SD0261T0521,261.0,False,unknown
G2006MI0167N0334,167.0,False,unknown
G1999MS0236N0472,236.0,False,unknown
S2006VT0051N0102,51.0,False,unknown
S2006WA0053N0106,53.0,False,unknown
S2002VA0116I0231,116.0,False,unknown
G2002NV0206N0412,206.0,False,unknown
G2006WI0184T0367,184.0,False,unknown
G2006MD0165N0330,165.0,False,unknown
S2008NJ0017T0033,17.0,False,unknown
S2000WV0149T0297,149.0,False,unknown
G2006AK0152N0304,152.0,False,unknown
G1999LA0235N0470,235.0,False,unknown
G2002ME0200N0400,200.0,False,unknown
S2006MN0036N0072,36.0,False,unknown
S2002KS0096L0191,96.0,False,unknown
S2000NV0138N0276,138.0,False,unknown
S2008MS0013N0026,13.0,False,unknown
S2008WV0026N0052,26.0,False,unknown
