election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
2.0,0,a,,,ERROR,Connection error.
2.0,0,b,,,ERROR,Connection error.
1.0,1,a,,,ERROR,Connection error.
1.0,1,b,,,ERROR,Connection error.
1.0,2,a,,,ERROR,Connection error.
1.0,2,b,,,ERROR,Connection error.
1.0,0,a,,,ERROR,Connection error.
1.0,0,b,,,ERROR,Connection error.
2.0,1,a,,,ERROR,Connection error.
2.0,1,b,,,ERROR,Connection error.
2.0,2,a,,,ERROR,Connection error.
2.0,2,b,,,ERROR,Connection error.
3.0,0,a,,,ERROR,Connection error.
3.0,0,b,,,ERROR,Connection error.
3.0,1,a,,,ERROR,Connection error.
3.0,1,b,,,ERROR,Connection error.
3.0,2,a,,,ERROR,Connection error.
3.0,2,b,,,ERROR,Connection error.
4.0,1,a,,,ERROR,Connection error.
4.0,1,b,,,ERROR,Connection error.
4.0,0,a,,,ERROR,Connection error.
4.0,0,b,,,ERROR,Connection error.
4.0,2,a,,,ERROR,Connection error.
4.0,2,b,,,ERROR,Connection error.
5.0,0,a,,,ERROR,Connection error.
5.0,0,b,,,ERROR,Connection error.
5.0,1,a,,,ERROR,Connection error.
5.0,1,b,,,ERROR,Connection error.
5.0,2,a,,,ERROR,Connection error.
5.0,2,b,,,ERROR,Connection error.
6.0,0,a,,,ERROR,Connection error.
6.0,0,b,,,ERROR,Connection error.
6.0,1,a,,,ERROR,Connection error.
6.0,1,b,,,ERROR,Connection error.
6.0,2,a,,,ERROR,Connection error.
6.0,2,b,,,ERROR,Connection error.
7.0,0,a,,,ERROR,Connection error.
7.0,0,b,,,ERROR,Connection error.
7.0,1,a,,,ERROR,Connection error.
7.0,1,b,,,ERROR,Connection error.
7.0,2,a,,,ERROR,Connection error.
7.0,2,b,,,ERROR,Connection error.
8.0,0,a,,,ERROR,Connection error.
8.0,0,b,,,ERROR,Connection error.
8.0,1,a,,,ERROR,Connection error.
8.0,1,b,,,ERROR,Connection error.
8.0,2,a,,,ERROR,Connection error.
8.0,2,b,,,ERROR,Connection error.
9.0,0,a,,,ERROR,Connection error.
9.0,0,b,,,ERROR,Connection error.
9.0,1,a,,,ERROR,Connection error.
9.0,1,b,,,ERROR,Connection error.
9.0,2,a,,,ERROR,Connection error.
