election_id,candidate_a,candidate_b,a_won_real,a_vote_share,b_vote_share,model_chose,model_chose_label,model_correct,status
1.0,S2008AL0001T0001,S2008AL0001N0002,False,0.37,0.63,,,,"POSITION_BIAS: ['a', 'b'] | ['"
2.0,S2008AK0002T0003,S2008AK0002N0004,True,0.48,0.47,a,S2008AK0002T0003,True,ok
3.0,S2008CO0003N0006,S2008CO0003T0005,False,0.42,0.53,a,S2008CO0003N0006,False,ok
4.0,S2008GA0004N0008,S2008GA0004T0007,True,0.57,0.43,a,S2008GA0004N0008,True,ok
5.0,S2008ID0005T0009,S2008ID0005N0010,False,0.34,0.58,a,S2008ID0005T0009,False,ok
6.0,S2008IL0006N0012,S2008IL0006T0011,False,0.29,0.68,b,S2008IL0006T0011,True,ok
7.0,S2008IA0007T0013,S2008IA0007N0014,True,0.63,0.37,a,S2008IA0007T0013,True,ok
8.0,S2008KS0008N0016,S2008KS0008T0015,True,0.6,0.37,b,S2008KS0008T0015,False,ok
9.0,S2008KY0009T0017,S2008KY0009N0018,False,0.47,0.53,a,S2008KY0009T0017,False,ok
10.0,S2008LA0010N0020,S2008LA0010T0019,False,0.46,0.52,b,S2008LA0010T0019,True,ok
11.0,S2008ME0011T0021,S2008ME0011N0022,False,0.39,0.61,b,S2008ME0011N0022,True,ok
12.0,S2008MI0012N0024,S2008MI0012T0023,False,0.34,0.63,a,S2008MI0012N0024,False,ok
13.0,S2008MS0013N0026,S2008MS0013T0025,True,0.61,0.39,a,S2008MS0013N0026,True,ok
14.0,S2008MT0014T0027,S2008MT0014N0028,True,0.73,0.27,b,S2008MT0014N0028,False,ok
15.0,S2008NE0015N0030,S2008NE0015T0029,True,0.58,0.4,a,S2008NE0015N0030,True,ok
16.0,S2008NH0016T0031,S2008NH0016N0032,True,0.52,0.45,a,S2008NH0016T0031,True,ok
17.0,S2008NJ0017T0033,S2008NJ0017N0034,True,0.56,0.42,a,S2008NJ0017T0033,True,ok
18.0,S2008NM0018N0036,S2008NM0018T0035,False,0.39,0.61,b,S2008NM0018T0035,True,ok
19.0,S2008NC0019N0038,S2008NC0019T0037,False,0.44,0.53,,,,"POSITION_BIAS: ['a', 'b'] | ['"
20.0,S2008OR0020T0039,S2008OR0020N0040,True,0.49,0.46,b,S2008OR0020N0040,False,ok
21.0,S2008SC0021T0041,S2008SC0021N0042,False,0.42,0.58,b,S2008SC0021N0042,True,ok
22.0,S2008SD0022N0044,S2008SD0022T0043,False,0.38,0.62,b,S2008SD0022T0043,True,ok
23.0,S2008TN0023N0046,S2008TN0023T0045,True,0.65,0.32,b,S2008TN0023T0045,False,ok
24.0,S2008TX0024N0048,S2008TX0024T0047,True,0.55,0.43,a,S2008TX0024N0048,True,ok
25.0,S2008VA0025N0050,S2008VA0025T0049,False,0.34,0.65,b,S2008VA0025T0049,True,ok
26.0,S2008WV0026T0051,S2008WV0026N0052,True,0.64,0.36,,,,"POSITION_BIAS: ['a', 'b'] | ['"
27.0,S2008WY0027N0054,S2008WY0027T0053,True,0.76,0.24,b,S2008WY0027T0053,False,ok
28.0,S2006AZ0028N0056,S2006AZ0028T0055,True,0.55,0.45,,,,"POSITION_BIAS: ['a', 'b'] | ['"
29.0,S2006CA0029T0057,S2006CA0029N0058,True,0.63,0.37,a,S2006CA0029T0057,True,ok
30.0,S2006DE0030T0059,S2006DE0030N0060,True,0.71,0.29,a,S2006DE0030T0059,True,ok
31.0,S2006FL0031N0062,S2006FL0031T0061,False,0.39,0.61,b,S2006FL0031T0061,True,ok
32.0,S2006ME0032T0063,S2006ME0032N0064,False,0.22,0.78,b,S2006ME0032N0064,True,ok
33.0,S2006MD0033T0065,S2006MD0033N0066,True,0.55,0.45,a,S2006MD0033T0065,True,ok
34.0,S2006MA0034N0068,S2006MA0034T0067,False,0.31,0.69,b,S2006MA0034T0067,True,ok
35.0,S2006MI0035T0069,S2006MI0035N0070,True,0.58,0.42,b,S2006MI0035N0070,False,ok
36.0,S2006MN0036N0072,S2006MN0036T0071,False,0.4,0.6,a,S2006MN0036N0072,False,ok
37.0,S2006MS0037T0073,S2006MS0037N0074,False,0.35,0.65,,,,"POSITION_BIAS: ['b', 'a'] | ['"
38.0,S2006MO0038T0075,S2006MO0038N0076,True,0.51,0.49,a,S2006MO0038T0075,True,ok
39.0,S2006MT0039N0078,S2006MT0039T0077,False,0.5,0.5,b,S2006MT0039T0077,True,ok
40.0,S2006NE0040T0079,S2006NE0040N0080,True,0.64,0.36,b,S2006NE0040N0080,False,ok
41.0,S2006NV0041T0081,S2006NV0041N0082,False,0.43,0.57,b,S2006NV0041N0082,True,ok
